DVM,SapToOracle_SubjSubA_Lookup,Mapping from Sap Gl Code to Oracle Subjective and Subanalysis
SapGlCode,Subjective,Subanalysis
1002,101002,1000
1004,101004,1000
1006,101006,1000
1008,101008,1000
1011,101011,1000
1018,101018,1000
1021,101021,1000
1025,101025,1000
1029,101029,1000
1030,101030,1000
1035,101035,1000
1045,101045,1000
1053,101053,1000
1054,101054,1000
1055,101055,1000
1057,101057,1000
1058,101058,1000
1059,101059,1000
1060,101060,1000
1061,101061,1000
1062,101062,1000
1063,101063,1000
1064,101064,1000
1065,101065,1000
1070,101070,1000
1071,101071,1000
1072,101072,1000
1073,101073,1000
1074,101074,1000
1075,101075,1000
1076,101076,1000
1077,101077,1000
1078,101078,1000
1079,101079,1000
1080,101080,1000
1081,101081,1000
1082,101082,1000
1083,101083,1000
1084,101084,1000
1085,101085,1000
1086,101086,1000
1087,101087,1000
1088,101088,1000
1089,101089,1000
1090,101090,1000
1091,101091,1000
1092,101092,1000
1093,101093,1000
1094,101094,1000
1097,101097,1000
1100,101100,1000
1102,101102,1000
1105,101105,1000
1108,101108,1000
1109,101109,1000
1112,101112,1000
1113,101113,1000
1130,101130,1000
1305,101305,1000
1320,101320,1000
1321,101321,1000
1322,101322,1000
1351,101351,1000
1352,101352,1000
1361,101361,1000
1401,101401,1000
1402,101402,1000
1405,101405,1000
1406,101406,1000
1407,101407,1000
1409,101409,1000
1410,101410,1000
1411,101411,1000
1412,101412,1000
1413,101413,1000
1414,101414,1000
1415,101415,1000
1419,101419,1000
1420,101420,1000
1421,101421,1000
1422,101422,1000
1424,101424,1000
1425,101425,1000
1426,101426,1000
1427,101427,1000
1429,101429,1000
1430,101430,1000
1431,101431,1000
1500,101500,1000
1503,101503,1000
1506,101506,1000
1509,101509,1000
1511,101511,1000
1512,101512,1000
1513,101513,1000
1998,101998,1000
1999,101999,1000
2000,102000,1000
2001,102001,1000
2003,102003,1000
2005,102005,1000
2006,102006,1000
2010,102010,1000
2014,102014,1000
2015,102015,1000
2016,102016,1000
2017,102017,1000
2022,102022,1000
2024,102024,1000
2025,102025,1000
2027,102027,1000
2030,102030,1000
2031,102031,1000
2033,102033,1000
2034,102034,1000
2035,102035,1000
2036,102036,1000
2037,102037,1000
2038,102038,1000
2039,102039,1000
2043,102043,1000
2044,102044,1000
2050,102050,1000
2059,102059,1000
2073,102073,1000
2074,102074,1000
2076,102076,1000
2078,102078,1000
2080,102080,1000
2081,102081,1000
2085,102085,1000
2086,102086,1000
2090,102090,1000
2091,102091,1000
2092,102092,1000
2094,102094,1000
2095,102095,1000
2096,102093,1000
2097,102097,1000
2099,102099,1000
2104,102104,1000
2106,102106,1000
2107,102107,1000
2108,102108,1000
2150,102150,1000
2156,102156,1000
2157,102157,1000
2158,102158,1000
2159,102159,1000
2160,102160,1000
2161,102161,1000
2162,102162,1000
2163,102163,1000
2170,102170,1000
2171,102171,1000
2172,102172,1000
2174,102174,1000
2177,102177,1000
2178,102173,1000
2180,102180,1000
2181,102181,1000
2184,102184,1000
2185,102185,1000
2186,102186,1000
2187,102187,1000
2201,102201,1000
2202,102202,1000
2203,102203,1000
2204,102204,1000
2207,102207,1000
2209,102209,1000
2210,102210,1000
2212,102212,1000
2213,102213,1000
2214,102214,1000
2215,102215,1000
2217,102217,1000
2219,102219,1000
2222,102222,1000
2223,102223,1000
2225,102225,1000
2227,102227,1000
2229,102229,1000
2230,102230,1000
2236,102236,1000
2239,102239,1000
2242,102242,1000
2248,102248,1000
2250,102250,1000
2251,102250,1000
2252,102250,1000
2253,102250,1000
2255,102250,1000
2257,102257,1000
2259,102259,1000
2261,102261,1000
2262,102262,1000
2269,102269,1000
2270,102270,1000
2271,102271,1000
2272,102272,1000
2273,102273,1000
2275,102275,1000
2276,102276,1000
2279,102279,1000
2280,102280,1000
2282,102282,1000
2283,102283,1000
2285,102285,1000
2287,102287,1000
2288,102288,1000
2289,102289,1000
2296,102296,1000
2297,102297,1000
2299,102299,1000
2300,102300,1000
2304,102304,1000
2305,102305,1000
2306,102306,1000
2307,102307,1000
2308,102308,1000
2309,102309,1000
2310,102310,1000
2312,102312,1000
2313,102313,1000
2314,102314,1000
2315,102315,1000
2316,102315,1000
2320,102320,1000
2321,102321,1000
2340,102340,1000
2341,102341,1000
2343,102343,1000
2344,102344,1000
2350,102350,1000
2751,102751,1000
2752,102752,1000
2753,102753,1000
2754,102754,1000
2755,102755,1000
2756,102756,1000
2757,102757,1000
2758,102758,1000
2771,102771,1000
2780,102780,1000
2781,102781,1000
2782,102782,1000
2783,102783,1000
2784,102784,1000
2785,102785,1000
2790,102790,1000
2791,102791,1000
2792,102792,1000
2793,102793,1000
2794,102794,1000
2796,102796,1000
2797,102797,1000
2803,102803,1000
2805,102805,1000
2806,102806,1000
2813,102813,1000
2822,102822,1000
2824,102824,1000
2826,102826,1000
2828,102828,1000
2829,102829,1000
2833,102833,1000
2834,102834,1000
2835,102835,1000
2840,102840,1000
2841,102841,1000
2850,102850,1000
2851,102851,1000
2860,102860,1000
2861,102861,1000
2862,102862,1000
2871,102871,1000
2880,102880,1000
2900,102900,1000
2901,102901,1000
3000,300000,3000
3001,300000,3001
3010,300000,3010
3013,300000,3010
3014,300000,3014
3015,300000,3015
3016,300000,3015
3017,300000,3015
3020,300000,3015
3021,300000,3015
3024,301000,3024
3025,300000,3045
3029,300000,3029
3031,300000,3045
3032,300000,3058
3033,300000,3032
3034,300000,3058
3036,300000,3045
3046,300000,3045
3048,300000,3010
3050,300000,3050
3051,302000,3051
3052,300000,3010
3053,302000,3053
3054,302000,3054
3056,300000,3056
3057,301000,3045
3058,300000,3058
3061,300000,3010
